"lugar","tipo_danio","entrecalles","colonia","calle","numero","resumen","proceso","atrapados","lesionados","fallecidos","rescatados","institucionResponsableGobiernoCDMX","EntidadGubernamental","googlemaps","longitud","latitud","entidad","tiporeporte","actualizacion"
"residencial","Derrumbe","Laredo y Amsterdam","condesa","sin informacion","sin informacion","Edificio 4 pisos trabajos con maquinaria liviana para el rescate de personas","sin informacion","sin informacion",3,8,14,"OBRAS","MARINA/SEDENA","https://www.google.com.mx/maps/place/Calle+Laredo,+Hip%C3%B3dromo,+06100+Ciudad+de+M%C3%A9xico,+CDMX/@19.412867,-99.1729945,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff4126bccd61:0xe23bc0036ea3f17a!8m2!3d19.4127856!4d-99.1707632",-99.173,19.413,"cdmx","proteccion civil","23-sept (14:00)"
"hospital/clínica","Derrumbe","Escocia y Gabriel Mancera","del valle","sin informacion","sin informacion","Edificio 10 pisos trabajos con maquinaria liviana para el rescate de personas","sin informacion",5,2,11,,"AGU-SEDECO","SEDENA/MARINA","https://www.google.com.mx/maps/place/Eje+2+Pte+%26+Escocia,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX/@19.3883761,-99.165891,17.04z/data=!4m5!3m4!1s0x85d1ff0a4b50be57:0x6c453814a7dbe22d!8m2!3d19.3876699!4d-99.1639336?hl=es-419",-99.164,19.387,"cdmx","proteccion civil","23-sept (14:00)"
"residencial","Derrumbe","Escocia y Edimburgo","del valle","sin informacion","sin informacion","Edificio 6 pisos trabajos con maquinaria liviana para el rescate de personas","sin informacion",1,2,11,4,"AGU-SEDECO","SEDENA","https://www.google.com.mx/maps/place/Eugenia+%26+Edimburgo,+Col+del+Valle+Centro,+03100+Ciudad+de+M%C3%A9xico,+CDMX/@19.3865984,-99.1647667,18z/data=!4m5!3m4!1s0x85d1ff0a40c06513:0xe788cdea722fdfae!8m2!3d19.3865934!4d-99.1636724",-99.165,19.387,"cdmx","proteccion civil","23-sept (14:00)"
"residencial","Derrumbe","Tlalpan y FOVISSSTE Tlalpan","educacion","Tlalpan","sin informacion","Edificio 5 pisos","sin informacion",18,3,3,11,"SEDEMA","MARINA/SEDENA",,-99.143,19.339,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","Cartago y Tlahuac","lomas estrella","Paseo de las Galias","sin informacion","sin informacion","7 edificios afectados de 5 pisos, 1 edificio en demolición",4,"sin informacion",5,1,"FINANZAS","SEDENA","https://www.google.com.mx/maps/place/Eje+10+Sur+%26+Paseo+de+Las+Galias,+Lomas+Estrella+2da+Secc,+09890+Ciudad+de+M%C3%A9xico,+CDMX/@19.3221705,-99.0972076,19.52z/data=!4m5!3m4!1s0x85ce021e97ec11b7:0xeb8e46f2576e7935!8m2!3d19.3223825!4d-99.0972587",-99.097,19.322,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","Vista Hermosa y calzada del hueso","los girasoles","Rancho los Arcos","sin informacion","sin informacion","sin informacion","sin informacion",6,10,4,"GOBIERNO","MARINA/SEDENA","https://www.google.com.mx/maps/place/Calz.+del+Hueso+%26+Rancho+de+Los+Arcos,+Girasoles+I,+04920+Ciudad+de+M%C3%A9xico,+CDMX/@19.3037524,-99.1255481,16.57z/data=!4m5!3m4!1s0x85ce01980e595fe7:0xed1dc69532f13f3d!8m2!3d19.3033084!4d-99.1228743?hl=es-419",-99.125,19.305,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","miramontes y calzada del hueso","los girasoles","sin informacion","sin informacion","Inmueble de 2 pisos en proceso de demolición","Conclusion de trabajos","sin informacion","sin informacion",3,"sin informacion","SEDESO","MARINA/SEDENA","https://www.google.com.mx/maps/place/Churrascaria+Coapa/@19.3060213,-99.1263214,17z/data=!4m5!3m4!1s0x85ce0106b83b3f61:0xd360d40778f85781!8m2!3d19.30995!4d-99.124358",-99.126,19.306,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","balsas y miravalle","miravalle","balsas",18,"sin informacion","sin informacion","sin informacion",4,2,"sin informacion","SEDESO","SEDENA","https://www.google.com.mx/maps/place/Balsas+18,+sineo,+Miravalle,+03580+Ciudad+de+M%C3%A9xico,+CDMX/@19.3606731,-99.1404678,18.85z/data=!4m5!3m4!1s0x85d1fe35df2fa375:0xba0c95290f34cdd0!8m2!3d19.3605541!4d-99.1402191?hl=es-419",-99.14,19.361,"cdmx","proteccion civil","23-sept (14:00)"
,"Derrumbe","yacatas y concepción beistegui","narvarte oriente","sin informacion","sin informacion","Edificio 4 pisos en proceso de demolición","sin informacion","sin informacion","sin informacion","sin informacion","sin informacion","SEDESO","SEDENA","https://www.google.com.mx/maps/place/Calle+Concepci%C3%B3n+Beistegui+%26+Calle+Yacatas,+Narvarte+Poniente,+03020+Ciudad+de+M%C3%A9xico,+CDMX/@19.3873457,-99.1582722,17z/data=!3m1!4b1!4m5!3m4!1s0x85d1ff07da8e31f1:0x8c976dc7df28c30e!8m2!3d19.3873457!4d-99.1560835?hl=es-419",-99.158,19.387,"cdmx","proteccion civil","23-sept (14:00)"
"escolar","Derrumbe","Brujas y Rancho Tamboreo","nueva oriental coapa","sin informacion","sin informacion","Escuela 4 niveles","sin informacion",1,"sin informacion",21,14,"SEP","MARINA","https://www.google.com.mx/maps/place/Av.+Division+del+Nte.+%26+Calz+de+las+Brujas,+Prados+Coapa+2da+Secc,+14357+Ciudad+de+M%C3%A9xico,+CDMX/@19.2966658,-99.1322727,18.09z/data=!4m5!3m4!1s0x85ce01a68cdd93a1:0xb5a40c55b0e565fb!8m2!3d19.2966443!4d-99.1313808?hl=es-419",-99.132,19.297,"cdmx","proteccion civil","23-sept (14:00)"
